GC_Content	Count	sample
0	38.0	pt2
1	38.5	pt2
2	30.5	pt2
3	18.5	pt2
4	14.5	pt2
5	14.0	pt2
6	15.0	pt2
7	20.0	pt2
8	37.0	pt2
9	57.5	pt2
10	72.0	pt2
11	100.5	pt2
12	176.0	pt2
13	305.5	pt2
14	434.5	pt2
15	614.0	pt2
16	852.5	pt2
17	1183.5	pt2
18	1786.0	pt2
19	3152.5	pt2
20	8996.0	pt2
21	15039.5	pt2
22	15889.0	pt2
23	15029.0	pt2
24	15472.5	pt2
25	27752.5	pt2
26	47644.0	pt2
27	56982.5	pt2
28	68312.5	pt2
29	82917.5	pt2
30	173648.0	pt2
31	307318.5	pt2
32	359514.5	pt2
33	430927.0	pt2
34	609598.0	pt2
35	729269.5	pt2
36	808966.0	pt2
37	857466.5	pt2
38	848175.5	pt2
39	1022997.5	pt2
40	1195650.5	pt2
41	1229435.5	pt2
42	1288183.0	pt2
43	1408811.0	pt2
44	1613093.0	pt2
45	1861258.0	pt2
46	2349651.5	pt2
47	3642397.0	pt2
48	4962182.5	pt2
49	5397690.5	pt2
50	4210870.0	pt2
51	2947609.5	pt2
52	2204686.5	pt2
53	1245385.5	pt2
54	918408.0	pt2
55	821369.0	pt2
56	945438.5	pt2
57	1101150.5	pt2
58	999814.0	pt2
59	743497.0	pt2
60	586228.5	pt2
61	564944.5	pt2
62	602876.0	pt2
63	601103.5	pt2
64	513448.5	pt2
65	365170.0	pt2
66	204002.5	pt2
67	138093.0	pt2
68	112566.0	pt2
69	91878.5	pt2
70	87395.0	pt2
71	77102.5	pt2
72	69009.5	pt2
73	65730.5	pt2
74	52525.0	pt2
75	37436.0	pt2
76	27451.0	pt2
77	21783.0	pt2
78	19889.5	pt2
79	19152.5	pt2
80	17409.0	pt2
81	16648.0	pt2
82	16344.5	pt2
83	14238.5	pt2
84	11836.0	pt2
85	9604.5	pt2
86	6981.0	pt2
87	5287.5	pt2
88	4457.0	pt2
89	3974.0	pt2
90	3651.0	pt2
91	3286.5	pt2
92	2998.0	pt2
93	2599.5	pt2
94	2097.5	pt2
95	1829.0	pt2
96	1726.5	pt2
97	1401.0	pt2
98	787.5	pt2
99	473.5	pt2
100	468.0	pt2
