GC_Content	Count	sample
0	6.0	cc7
1	6.0	cc7
2	9.5	cc7
3	12.0	cc7
4	11.0	cc7
5	11.0	cc7
6	12.0	cc7
7	19.0	cc7
8	33.5	cc7
9	52.0	cc7
10	64.0	cc7
11	87.5	cc7
12	132.5	cc7
13	194.5	cc7
14	269.5	cc7
15	427.0	cc7
16	687.0	cc7
17	1009.5	cc7
18	1540.5	cc7
19	2146.0	cc7
20	4830.5	cc7
21	8672.0	cc7
22	10159.0	cc7
23	11444.0	cc7
24	14509.0	cc7
25	30420.5	cc7
26	53006.0	cc7
27	61812.5	cc7
28	73402.0	cc7
29	88353.0	cc7
30	161959.5	cc7
31	304349.0	cc7
32	384480.5	cc7
33	490000.5	cc7
34	705485.0	cc7
35	823584.5	cc7
36	890326.5	cc7
37	906037.5	cc7
38	884373.0	cc7
39	1030460.0	cc7
40	1144552.0	cc7
41	1163825.5	cc7
42	1182309.5	cc7
43	1449248.0	cc7
44	1758507.0	cc7
45	1943014.5	cc7
46	2455308.5	cc7
47	2823852.0	cc7
48	2704575.5	cc7
49	2583016.0	cc7
50	2122797.5	cc7
51	1662579.0	cc7
52	1289323.0	cc7
53	884154.0	cc7
54	782899.0	cc7
55	662139.5	cc7
56	600241.0	cc7
57	609194.5	cc7
58	631408.5	cc7
59	600306.5	cc7
60	566241.0	cc7
61	501365.5	cc7
62	471527.0	cc7
63	480448.5	cc7
64	421435.5	cc7
65	384891.5	cc7
66	343471.0	cc7
67	293257.0	cc7
68	237403.5	cc7
69	180354.0	cc7
70	159900.0	cc7
71	132364.5	cc7
72	109415.0	cc7
73	104291.5	cc7
74	80687.0	cc7
75	54339.0	cc7
76	42004.0	cc7
77	34306.0	cc7
78	32569.5	cc7
79	33048.5	cc7
80	32329.0	cc7
81	30778.5	cc7
82	31049.0	cc7
83	29134.5	cc7
84	26937.5	cc7
85	24634.0	cc7
86	22061.5	cc7
87	21139.5	cc7
88	20855.0	cc7
89	20618.5	cc7
90	20330.0	cc7
91	14623.0	cc7
92	6830.0	cc7
93	3530.5	cc7
94	2365.0	cc7
95	2135.0	cc7
96	2123.0	cc7
97	1496.5	cc7
98	608.5	cc7
99	347.0	cc7
100	347.0	cc7
